Country,ObservatoryID,UnitID,Latitude,Longitude,Depth_min,Depth_max,Field Replicates,Monitoring area,Habitat keywords,IUCN habitat type,Description,Notes,env broad scale,env local scale,env medium scale,add info,MarineRegion_larger,MarineRegion_smaller
BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,7,none,Marina,semi-industrial,"12.2 - Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.  ","ARMS was deployed near marina of Zeebrugge, ARMS attached to tripod, retrieved with acoustic release (no cover crate). Substrate was fine sand-silt (soft-bottom). Very fine silt made filtrations heavy.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748)
BEL,BelgiumCoast,AZFPin,51.66522,2.82558,37.5,37.5,none,Wind farm,LHI (Low human influence),9.5 - Subtidal Sandy-Mud  ,"Inside a windmill park. ARMS was deployed on a Acoustic Zooplankton Fish Profiler (AZFP's). As we were unable to dive, we undoubtedly lost most of the motile fraction. Still, many motile specimens were recorded (albeit in a rather low species diversity at first sight). The AZFP frame itself was also heavily occupied with motile and sessile organisms.",,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
DNK,Laeso,Laeso1,57.25689,11.14193,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",
DNK,Laeso,Laeso2,57.25692,11.14197,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",
DNK,Laeso,Laeso3,57.25692,11.14199,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",
DNK,Limfjord,Green33,56.90155,9.05516667,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
DNK,Limfjord,Red2,56.89985,9.05663333,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
DNK,Limfjord,Yellow8,56.90131667,9.05733333,3.5,3.5,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
ESP,Getxo,G1,43.338452,-3.014833,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),
ESP,Getxo,G2,43.3385,-3.01491,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),
