occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,submergedTime,day,121,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,preservativeUsed,,Frozen,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,lowerLimitFilterSize,micrometer,90,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,sampleAccessionNumber,,SAMEA10021023,,,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,NCBIID,,5552,,,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,NCBIScientificName,,Trichosporon,,,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,NCBITaxonRank,,genus,,,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Crete_1HERP_20190612_20191011_MF90_r1:Otu46,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,submergedTime,day,243,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,preservativeUsed,,Frozen,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,sampleAccessionNumber,,SAMEA10021029,,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,NCBIID,,55193,,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,NCBIScientificName,,Malassezia,,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,NCBITaxonRank,,genus,,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Crete_1HERP_20190612_20200210_MF500_r1:Otu357,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Crete_2UBPC_20190924_20201211_MF500_r1:Otu799,submergedTime,day,444,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_2UBPC_20190924_20201211_MF500_r1:Otu799,preservativeUsed,,Frozen,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,
