Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
BEL,BelgiumCoast,AZBE1,24/09/2019,03/03/2020,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,Motile,DMSO,100,no,39,4
BEL,BelgiumCoast,AZBE1,24/09/2019,03/03/2020,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,Motile,DMSO,500,no,39,6
BEL,BelgiumCoast,AZBE1,24/09/2019,03/03/2020,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,Sessile,DMSO,40,no,39,6
BEL,BelgiumCoast,AZFPin,12/07/2018,18/08/2018,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,Motile,EtOH,200,no,294,4
BEL,BelgiumCoast,AZFPin,12/07/2018,18/08/2018,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,Motile,EtOH,500,no,294,6
DNK,Limfjord,Green33,18/06/2019,29/10/2019,ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_MF100,Motile,DMSO,100,Yes,28,6
DNK,Limfjord,Green33,18/06/2019,29/10/2019,ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_MF500,Motile,DMSO,500,Yes,28,6
DNK,Limfjord,Green33,18/06/2019,29/10/2019,ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_SF40,Sessile,DMSO,40,Yes,28,6
DNK,Limfjord,Green33,29/10/2019,10/11/2020,ARMS_Limfjord_Green33_20191029_20201110,ARMS_Limfjord_Green33_20191029_20201110_MF100,Motile,DMSO,100,not provided,24,4
DNK,Limfjord,Green33,29/10/2019,10/11/2020,ARMS_Limfjord_Green33_20191029_20201110,ARMS_Limfjord_Green33_20191029_20201110_MF500,Motile,DMSO,500,not provided,24,4
DNK,Limfjord,Green33,29/10/2019,10/11/2020,ARMS_Limfjord_Green33_20191029_20201110,ARMS_Limfjord_Green33_20191029_20201110_SF40,Sessile,DMSO,40,not provided,24,4
DNK,Limfjord,Red2,18/06/2019,29/10/2019,ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_MF100,Motile,DMSO,100,Yes,56,6
DNK,Limfjord,Red2,18/06/2019,29/10/2019,ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_MF500,Motile,DMSO,500,Yes,56,6
DNK,Limfjord,Red2,18/06/2019,29/10/2019,ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_SF40,Sessile,DMSO,40,Yes,56,6
DNK,Limfjord,Red2,29/10/2019,10/11/2020,ARMS_Limfjord_Red2_20191029_20201110,ARMS_Limfjord_Red2_20191029_20201110_MF100,Motile,DMSO,100,not provided,21,4
DNK,Limfjord,Red2,29/10/2019,10/11/2020,ARMS_Limfjord_Red2_20191029_20201110,ARMS_Limfjord_Red2_20191029_20201110_MF500,Motile,DMSO,500,not provided,21,4
DNK,Limfjord,Red2,29/10/2019,10/11/2020,ARMS_Limfjord_Red2_20191029_20201110,ARMS_Limfjord_Red2_20191029_20201110_SF40,Sessile,DMSO,40,not provided,21,4
DNK,Limfjord,Yellow8,18/06/2019,29/10/2019,ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_MF100,Motile,DMSO,100,not provided,99,6
DNK,Limfjord,Yellow8,18/06/2019,29/10/2019,ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_MF500,Motile,DMSO,500,not provided,99,6
DNK,Limfjord,Yellow8,18/06/2019,29/10/2019,ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_SF40,Sessile,DMSO,40,not provided,99,6
ESP,Getxo,G1,24/06/2019,16/10/2019,ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_MF100,Motile,DMSO,100,No,134,4
ESP,Getxo,G1,24/06/2019,16/10/2019,ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_MF500,Motile,DMSO,500,No,134,4
ESP,Getxo,G1,24/06/2019,16/10/2019,ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_SF40,Sessile,DMSO,40,No,134,4
ESP,Getxo,G2,24/06/2019,16/10/2019,ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_MF100,Motile,DMSO,100,No,121,6
ESP,Getxo,G2,24/06/2019,16/10/2019,ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_MF500,Motile,DMSO,500,No,121,4
ESP,Getxo,G2,24/06/2019,16/10/2019,ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_SF40,Sessile,DMSO,40,No,121,4
ESP,Getxo,G3,24/06/2019,16/10/2019,ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_MF100,Motile,DMSO,100,No,222,4
ESP,Getxo,G3,24/06/2019,16/10/2019,ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_MF500,Motile,DMSO,500,No,222,4
ESP,Getxo,G3,24/06/2019,16/10/2019,ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_SF40,Sessile,DMSO,40,No,222,4
ESP,Vigo,TorallaA,07/06/2018,24/09/2018,ARMS_Vigo_TorallaA_20180607_20180924,ARMS_Vigo_TorallaA_20180607_20180924_MF100_ETOH,Motile,EtOH,100,not provided,25,4
ESP,Vigo,TorallaA,07/06/2018,24/09/2018,ARMS_Vigo_TorallaA_20180607_20180924,ARMS_Vigo_TorallaA_20180607_20180924_MF500_ETOH,Motile,EtOH,500,not provided,25,4
ESP,Vigo,TorallaA,07/06/2018,24/09/2018,ARMS_Vigo_TorallaA_20180607_20180924,ARMS_Vigo_TorallaA_20180607_20180924_SF40_ETOH,Sessile,EtOH,40,not provided,25,6
ESP,Vigo,TorallaA,25/06/2019,14/10/2019,ARMS_Vigo_TorallaA_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_MF100,Motile,DMSO,100,not provided,21,6
ESP,Vigo,TorallaA,25/06/2019,14/10/2019,ARMS_Vigo_TorallaA_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_MF500,Motile,DMSO,500,not provided,21,6
ESP,Vigo,TorallaA,25/06/2019,14/10/2019,ARMS_Vigo_TorallaA_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_SF40,Sessile,DMSO,40,not provided,21,6
ESP,Vigo,TorallaB,25/06/2019,14/10/2019,ARMS_Vigo_TorallaB_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_MF100,Motile,DMSO,100,not provided,18,6
